Occupation score,Occupation score adjusted,Colby score,first_name,last_name,urls,args,label
28.0,1.4736842105263157,1.0,Michelle,Riffelmacher,['http://www.businesswire.com/news/home/20170606005475/en/Macquarie-Strengthens-Expands-U.S.-Transition-Management-Business'],[0.],1
33.0,1.137931034482759,0.0,William,Montgoris,['http://www.stjohns.edu/about/news/2017-06-05/second-annual-grand-alumni-homecoming-weekend-celebrates-past-present-and-future'],[0.],1
21.0,0.875,0.0,David,Pulver,['https://www.themarketsdaily.com/2017/06/09/insider-buying-carters-inc-cri-director-acquires-80100-00-in-stock-updated.html'],[0.],1
0.0,0.0,0.0,Betsy,Morgan,['https://feedreader.com/observe/askbetsymorgan.com'],[0.],1
0.0,0.0,0.0,David,Pulver,['https://www.chaffeybreeze.com/2017/06/08/david-pulver-purchases-1000-shares-of-carters-inc-cri-stock-updated.html'],[0.],1
11.0,0.7857142857142857,0.0,Scott,Brady,['http://www.businesswire.com/news/home/20170608005413/en/Citrine-Informatics-Raises-7.6M-Revolutionize-Materials-Driven-Product'],[0.],1
1.0,0.07692307692307693,0.0,Bob,Diamond,['https://www.theguardian.com/business/2017/jun/04/panmure-gordon-bob-diamond-banker'],[0.],1
16.0,0.9411764705882352,1.0,Andrew,Davis,['https://www.nytimes.com/2017/06/18/fashion/weddings/kathryn-pickett-andrew-davis.html'],[0.],1
3.6666666666666665,0.9166666666666666,0.0,Eric,Rosengren,"['http://www.marketwatch.com/story/feds-rosengren-says-low-interest-rates-do-raise-financial-stability-concerns-2017-06-20', 'https://www.reuters.com/article/us-usa-fed-rosengren-idUSKBN19B1NQ', 'https://www.euroexchangeratenews.co.uk/euro-rises-us-dollar-cautious-fed-forecasts-25076']",[0.],1
12.0,0.9230769230769232,0.0,Bob,Diamond,"['https://www.fnlondon.com/articles/bob-diamond-sells-big-stake-in-atlas-mara-20170621', 'http://www.standard.co.uk/news/crime/four-exbarclays-executives-charged-with-fraud-plot-over-qatar-bailout-a3568911.html']",[0.],1
5.5,0.4230769230769231,0.0,Bob,Diamond,"['https://www.ft.com/content/b756135e-5691-11e7-9fed-c19e2700005f', 'http://www.thisismoney.co.uk/money/news/article-4626988/ALEX-BRUMMER-Barclays-litany-errors.html']",[0.],1
4.0,0.5,0.0,Bill,Alfond,['https://www.forbes.com/sites/chasewithorn/2017/06/21/meet-the-richest-person-in-every-state-2017/'],[0.],1
2.0,0.125,0.0,Betsy,Morgan,['http://shelterislandreporter.timesreview.com/2017/06/21/mayors-party-loses-angst-filled-election/'],[0.],1
37.0,1.4230769230769231,0.0,Kevin,Starr,['https://www.thecerbatgem.com/2017/06/20/cytomx-therapeutics-ctmx-getting-somewhat-favorable-press-coverage-analysis-shows-updated-updated-updated-updated.html'],[0.],1
0.75,0.1875,0.0,Eric,Rosengren,"['https://www.morningstar.com/news/dow-jones/TDJNDN_201706207664/market-snapshot-stock-market-closes-lower-as-oil-slips-into-bearmarket-territory.html', 'https://www.reuters.com/article/usa-bonds-idUSL1N1JI0L1', 'http://dailytimes.com.pk/business/21-Jun-17/feds-rosengren-low-interest-rates-pose-financial-stability-risks', 'https://www.reuters.com/article/brief-myriad-genetics-agree-on-new-long-idUSFWN1JI0JC']",[0.],1
0.0,0.0,0.0,Amy,Walter,['http://newburghgazette.com/2017/06/21/6th-district-voters-head-to-the-polls-election-day-timeline/'],[0.],1
3.0,0.75,0.0,Eric,Rosengren,"['http://www.nydailynews.com/newswires/news/business/stocks-advance-dollar-weakness-lifts-oil-article-1.3271008', 'http://nation.com.pk/business/24-Jun-2017/global-stocks-advance-as-dollar-fall-boosts-oil', 'https://uk.finance.yahoo.com/news/asian-shares-flat-still-track-winning-week-004835511--finance.html']",[0.],1
10.0,0.7692307692307693,0.0,Amy,Walter,['http://www.broadwayworld.com/bwwtv/article/CBS-FACE-THE-NATION-Is-Americas-No-1-Public-Affairs-Program-on-625-20170627'],[0.],1
2.0,0.5,0.0,Eric,Rosengren,['https://www.benzinga.com/opinion/17/06/9658830/the-stock-market-entering-period-of-risk'],[0.],1
3.0,0.42857142857142855,0.0,Kirk,Koenigsbauer,['http://www.eweek.com/enterprise-apps/microsoft-extends-data-leak-protection-to-office-on-windows'],[0.],1
1.0,0.07692307692307693,0.0,Bob,Diamond,['https://www.ft.com/content/75cd2270-57fd-11e7-9fed-c19e2700005f'],[0.],1
0.0,0.0,2.0,Bill,Alfond,['http://www.colby.edu/news/2017/06/23/colby-names-jacob-olkkola-new-harold-alfond-director-of-athletics/'],[0.],1
11.0,0.8461538461538461,0.0,Amy,Walter,"['http://www.cbsnews.com/news/sunday-manchin-toomey-cassidy-entous-and-bowden/', 'http://www.orlandosentinel.com/entertainment/tv/tv-guy/os-et-phil-donahue-eric-trump-sean-spicer-20170623-story.html']",[0.],1
37.0,1.4230769230769231,0.0,Kevin,Starr,['https://www.chaffeybreeze.com/2017/06/22/cytomx-therapeutics-inc-ctmx-shares-bought-by-perceptive-advisors-llc-updated.html'],[0.],1
21.0,0.875,0.0,David,Pulver,['https://baseballnewssource.com/markets/carters-cri-earning-somewhat-favorable-press-coverage-analysis-shows-updated/1037420.html'],[0.],1
6.0,0.4615384615384616,0.0,Bob,Diamond,['http://www.reuters.com/article/barclays-king-leerink-idUSL1N1JQ0XW'],[0.],1
10.0,0.4,0.0,Phillip,Frost,['http://www.broadwayworld.com/bwwart/article/Frost-Art-Museum-FIU-to-Celebrate-the-Art-of-Mexican-Photography-20170629'],[0.],1
23.0,1.2777777777777777,0.0,Marc,Wolpow,['http://www.vnews.com/At-the-Hospitals-July-2-2017-11048215'],[0.],1
21.0,0.875,0.0,David,Pulver,['https://sportsperspectives.com/2017/07/02/carters-inc-cri-shares-bought-by-principal-financial-group-inc-updated.html'],[0.],1
37.0,1.4230769230769231,0.0,Kevin,Starr,['https://www.com-unik.info/2017/07/02/cytomx-therapeutics-nasdaqctmx-earning-positive-news-coverage-study-finds.html'],[0.],1
20.0,0.8333333333333334,0.0,David,Pulver,['https://transcriptdaily.com/2017/07/09/gotham-asset-management-llc-invests-18-39-million-in-carters-inc-cri-updated-updated.html'],[0.],1
5.0,1.0,0.0,Joan,Alfond,['http://www.centralmaine.com/2017/07/08/waterville-educare-class-among-maine-programs-spared-of-state-funding-cuts/'],[0.],1
